"","X","runnum","n","spreadern","ntype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","fininitval","X","agents.n","links.n","spreaders.avglinks","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","believers.n","misinfo.avgexpose.n"
"1",1,1,125,1,"""scale-free""",25,1,25,25,29,"count turtles",1,125,124,1,35,2.22857142857143,0,450.342857142857,0.10970310006997,0.00873534270332724,0.187899335243185,6,1,0,0,0.0652791582022936,0.00444341801866908,0.180244624818046,6,1.33333333333333,0,41,0.0686415783992917,0.00582510610909513,0.171532080815638,78,2,0,250.666666666667,0.0583800485843255,0.00811092128996104,0.183072982103463,84,1
"2",2,2,125,1,"""scale-free""",25,1,25,25,500,"count turtles",2,125,124,5,33,1.57575757575758,0,220.878787878788,0.0522470978057002,0.00651561294950305,0.161587117426356,5,1.6,0,239.6,0.0784998108984854,0.00673163304587034,0.157233583774201,6,1.83333333333333,0,318.833333333333,0.099507043126196,0.00729110228176225,0.166843562618197,81,2.18518518518519,0,395.382716049383,0.0771010998982447,0.00873555547835153,0.161720868668715,82,0.92
"3",3,3,125,1,"""scale-free""",25,1,25,25,500,"count turtles",3,125,124,1,32,1.875,0,261.71875,0.0895894960260907,0.00755897657915188,0.181701669088755,10,1.6,0,85.6,0.0644295677914727,0.00677859549910319,0.181644441400594,8,2.125,0,151,0.113120143806549,0.00864179247217453,0.191116157204596,75,2.06666666666667,0,328.733333333333,0.0696173735782837,0.00828256606264949,0.189638665764593,80,0.944
"4",4,4,125,1,"""scale-free""",25,1,25,25,500,"count turtles",4,125,124,1,33,1.90909090909091,0,251.969696969697,0.0952171641539752,0.00780925005752203,0.171829506974518,6,1.66666666666667,0,212.666666666667,0.078253030466463,0.00678215348872007,0.167780314421132,6,2.16666666666667,0,198.5,0.0827806628161644,0.00871918744762852,0.173987209606372,80,2.025,0,336.65,0.104348586203846,0.00811608378104601,0.180391806731896,81,0.912
"5",5,5,125,1,"""scale-free""",25,1,25,25,500,"count turtles",5,125,124,2,34,2.47058823529412,0,465.470588235294,0.109171203203511,0.00958887892004459,0.20988741058872,5,1.6,0,73.2,0.0518822508427905,0.00684614751766322,0.195428906915819,8,1.5,0,119.5,0.0700111004783989,0.00624374146220279,0.204593075288459,78,1.84615384615385,0,169.820512820513,0.0909944235221655,0.00756150573631469,0.211656693914062,84,0.976
"6",6,6,125,1,"""scale-free""",25,1,25,25,500,"count turtles",6,125,124,3,34,2.20588235294118,0,334.058823529412,0.0709507850147116,0.00884156255893513,0.175663476216931,5,1.8,0,280.4,0.0996138155057493,0.00738964101875511,0.189309487073158,8,1.5,0,136.125,0.0631037131615829,0.00647429681070712,0.165872937168632,78,1.94871794871795,0,304.961538461538,0.0997937767920066,0.00782877299252273,0.179333506408945,77,0.904
"7",7,7,125,1,"""scale-free""",25,1,25,25,500,"count turtles",7,125,124,2,35,2.22857142857143,0,281.485714285714,0.0920263853869663,0.00881988249967725,0.171494737139065,6,2,0,160.166666666667,0.061641977349662,0.00822651417741468,0.157462275932864,7,2.42857142857143,0,865.142857142857,0.0576060962765779,0.00932927030594758,0.177661163931245,77,1.83116883116883,0,299.649350649351,0.0687223950625396,0.00748883292604124,0.16575850725892,79,0.936
"8",8,8,125,1,"""scale-free""",25,1,25,25,500,"count turtles",8,125,124,1,34,2.02941176470588,0,326.235294117647,0.0848238808754609,0.00814104888405343,0.180638087544853,8,3.25,0,1082.375,0.202176163093972,0.0118970927296982,0.201276963352071,6,1.16666666666667,0,20.5,0.0513237205155629,0.00522516964655904,0.168380590025469,77,1.8961038961039,0,212.545454545455,0.0775021651928288,0.00774904647045771,0.184203207822056,2,0.024
"9",9,9,125,1,"""scale-free""",25,1,25,25,500,"count turtles",9,125,124,1,33,2.36363636363636,0,389.848484848485,0.102191530208852,0.00929648819023736,0.181610665502321,6,2.5,0,1085.66666666667,0.200594947095637,0.00948767021421836,0.187993432574301,7,1.28571428571429,0,52.4285714285714,0.0714275585876666,0.00553608538758444,0.171203500069468,79,1.84810126582278,0,228.987341772152,0.0822420948295112,0.00756376292055399,0.173573358508089,3,0.032
"10",10,10,125,1,"""scale-free""",25,1,25,25,500,"count turtles",10,125,124,3,33,2.45454545454545,0,490.272727272727,0.133303540763683,0.00954384388219815,0.192637515848018,6,3,0,389.666666666667,0.0829002944585604,0.011749862812011,0.182763948118814,7,1.71428571428571,0,223.571428571429,0.0591567430467195,0.0070461106210671,0.183318865128837,79,1.73417721518987,0,199.291139240506,0.0797796710290999,0.00715482532491044,0.1821446164373,75,0.848
