"","runnum","n","spreadern","ntype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","fininitval"
"1","1","125","1","""scale-free""","25","1","25","25","29","count turtles"
"2","2","125","1","""scale-free""","25","1","25","25","500","count turtles"
"3","3","125","1","""scale-free""","25","1","25","25","500","count turtles"
"4","4","125","1","""scale-free""","25","1","25","25","500","count turtles"
"5","5","125","1","""scale-free""","25","1","25","25","500","count turtles"
"6","6","125","1","""scale-free""","25","1","25","25","500","count turtles"
"7","7","125","1","""scale-free""","25","1","25","25","500","count turtles"
"8","8","125","1","""scale-free""","25","1","25","25","500","count turtles"
"9","9","125","1","""scale-free""","25","1","25","25","500","count turtles"
"10","10","125","1","""scale-free""","25","1","25","25","500","count turtles"
"11","11","125","1","""scale-free""","25","1","25","25","500","count turtles"
"12","12","125","1","""scale-free""","25","1","25","25","500","count turtles"
"13","13","125","1","""scale-free""","25","1","25","25","500","count turtles"
"14","14","125","1","""scale-free""","25","1","25","25","500","count turtles"
"15","15","125","1","""scale-free""","25","1","25","25","500","count turtles"
"16","16","125","1","""scale-free""","25","1","25","25","500","count turtles"
"17","17","125","1","""scale-free""","25","1","25","25","500","count turtles"
"18","18","125","1","""scale-free""","25","1","25","25","500","count turtles"
"19","19","125","1","""scale-free""","25","1","25","25","500","count turtles"
"20","20","125","1","""scale-free""","25","1","25","25","500","count turtles"
"21","21","125","1","""scale-free""","25","1","25","25","500","count turtles"
"22","22","125","1","""scale-free""","25","1","25","25","500","count turtles"
"23","23","125","1","""scale-free""","25","1","25","25","500","count turtles"
"24","24","125","1","""scale-free""","25","1","25","25","500","count turtles"
"25","25","125","1","""scale-free""","25","1","25","25","500","count turtles"
"26","26","125","1","""scale-free""","25","1","25","25","500","count turtles"
"27","27","125","1","""scale-free""","25","1","25","25","500","count turtles"
"28","28","125","1","""scale-free""","25","1","25","25","500","count turtles"
"29","29","125","1","""scale-free""","25","1","25","25","500","count turtles"
"30","30","125","1","""scale-free""","25","1","25","25","500","count turtles"
"31","31","125","1","""scale-free""","25","1","25","50","500","count turtles"
"32","32","125","1","""scale-free""","25","1","25","50","500","count turtles"
"33","33","125","1","""scale-free""","25","1","25","50","500","count turtles"
"34","34","125","1","""scale-free""","25","1","25","50","30","count turtles"
"35","35","125","1","""scale-free""","25","1","25","50","500","count turtles"
"36","36","125","1","""scale-free""","25","1","25","50","500","count turtles"
"37","37","125","1","""scale-free""","25","1","25","50","500","count turtles"
"38","38","125","1","""scale-free""","25","1","25","50","500","count turtles"
"39","39","125","1","""scale-free""","25","1","25","50","500","count turtles"
"40","40","125","1","""scale-free""","25","1","25","50","500","count turtles"
"41","41","125","1","""scale-free""","25","1","25","50","500","count turtles"
